,Soggetti,Predizione,Soggetto reale,Test
79,5211,0.0006048183422535658,8126,9
80,,,,
81,4129,0.5751466155052185,8125,10
82,8125,0.1684083342552185,8125,10
83,72213,0.10712794214487076,8125,10
84,7128,0.02874189428985119,8125,10
85,61221,0.021703632548451424,8125,10
86,71110,0.017641378566622734,8125,10
87,12113,0.013445577584207058,8125,10
88,51288,0.009611778892576694,8125,10
89,,,,
90,7228,0.4625432789325714,8124,11
91,22218,0.29404935240745544,8124,11
92,2112,0.19175533950328827,8124,11
93,21213,0.010050604119896889,8124,11
94,2217,0.009092659689486027,8124,11
95,8124,0.00772686256095767,8124,11
96,8214,0.007294217590242624,8124,11
97,51151,0.003178503829985857,8124,11
98,,,,
99,8123,0.8554338216781616,8123,12
100,1125,0.0487840510904789,8123,12
101,42114,0.02443326823413372,8123,12
102,51226,0.023092880845069885,8123,12
103,2111,0.011380374431610107,8123,12
104,61227,0.010975714772939682,8123,12
105,4214,0.002787747886031866,8123,12
106,12212,0.0027460125274956226,8123,12
107,,,,
108,8121,0.2722226083278656,8121,13
109,8223,0.2227429747581482,8121,13
110,8127,0.15102246403694153,8121,13
111,72214,0.12861190736293793,8121,13
112,12112,0.039489101618528366,8121,13
113,4128,0.022644871845841408,8121,13
114,8211,0.022316981106996536,8121,13
115,4221,0.018671011552214622,8121,13
116,,,,
117,7225,0.8287503123283386,8122,14
118,4128,0.0655403807759285,8122,14
119,8112,0.029416091740131378,8122,14
120,7127,0.01912173070013523,8122,14
121,2225,0.012657738290727139,8122,14
122,7129,0.012437361292541027,8122,14
123,8214,0.006150396075099707,8122,14
124,12213,0.004332357551902533,8122,14
125,,,,
126,32110,0.42173251509666443,8127,15
127,52270,0.21680937707424164,8127,15
128,8128,0.12246948480606079,8127,15
129,2116,0.11232474446296692,8127,15
130,71111,0.05251266807317734,8127,15
131,32117,0.015701647847890854,8127,15
132,72213,0.00899660773575306,8127,15
133,12217,0.006569553632289171,8127,15
134,,,,
135,51282,0.3305502235889435,8129,16
136,2212,0.17680983245372772,8129,16
137,2114,0.10018176585435867,8129,16
138,4127,0.09710755944252014,8129,16
139,62218,0.07967384904623032,8129,16
140,51151,0.04616505652666092,8129,16
141,51247,0.037685394287109375,8129,16
142,3211,0.027336036786437035,8129,16
143,,,,
144,8226,0.397805392742157,8128,17
145,7228,0.30151259899139404,8128,17
146,2217,0.05499127507209778,8128,17
147,2227,0.04854869842529297,8128,17
148,8128,0.04504525661468506,8128,17
149,2214,0.03272533789277077,8128,17
150,61129,0.020680852234363556,8128,17
151,22212,0.011255484074354172,8128,17
152,,,,
153,8216,0.8455307483673096,8216,18
154,7225,0.09494521468877792,8216,18
155,41111,0.01298145018517971,8216,18
156,22214,0.007732418365776539,8216,18
157,31113,0.00654434971511364,8216,18
158,4124,0.005145691800862551,8216,18
159,62124,0.003777392441406846,8216,18
160,61213,0.0029520182870328426,8216,18
161,,,,
162,8215,0.9315066933631897,8215,19
163,71114,0.031922075897455215,8215,19
164,8213,0.021814415231347084,8215,19
165,52152,0.003937230911105871,8215,19
166,7211,0.003930995706468821,8215,19
167,4217,0.0016368536744266748,8215,19
168,32119,0.0009311561589129269,8215,19
169,12111,0.000839388754684478,8215,19
170,,,,
171,52230,0.19418106973171234,8212,20
172,72214,0.12138614803552628,8212,20
173,7227,0.08178989589214325,8212,20
174,1229,0.06877462565898895,8212,20
175,2227,0.05979558080434799,8212,20
176,71110,0.05197986587882042,8212,20
177,41220,0.04827674850821495,8212,20
178,32119,0.04804728552699089,8212,20
179,,,,
180,12213,0.337027370929718,8213,21
181,8213,0.14397591352462769,8213,21
182,4222,0.09253460168838501,8213,21
183,31127,0.077531598508358,8213,21
184,32211,0.05321061238646507,8213,21
185,4127,0.051336683332920074,8213,21
186,71113,0.034198515117168427,8213,21
187,62225,0.022757994011044502,8213,21
188,,,,
189,6122,0.410023033618927,8214,22
190,21210,0.2925318479537964,8214,22
191,8214,0.20910096168518066,8214,22
192,8127,0.03963321074843407,8214,22
